id,nome,x,y,pessoas,prioridade,agua,medicamentos,alimentos,higiene,cobertores,carga_kg,beneficio
0,Centro de Distribuição,50.0,50.0,0,0,0,0,0,0,0,0,0
1,P01,21.0,48.8,108,3,3,1,1,2,2,28,31
2,P02,94.5,90.1,497,4,8,6,4,5,9,90,177
3,P03,52.8,76.4,55,1,2,1,1,1,2,21,6
4,P04,91.6,92.2,293,3,5,3,5,4,6,68,85
5,P05,93.6,42.2,91,2,3,1,1,1,2,26,20
6,P06,85.3,48.0,464,5,6,4,8,5,9,94,222
7,P07,43.9,50.8,420,4,7,3,6,5,7,86,160
8,P08,61.5,57.8,438,2,10,4,7,5,6,104,100
9,P09,51.4,95.2,371,2,7,5,6,4,7,86,66
10,P10,95.5,93.8,335,2,8,4,5,4,5,82,77
11,P11,20.0,50.5,302,4,6,3,4,2,6,65,124
12,P12,80.5,63.5,288,4,5,2,4,4,4,59,120
13,P13,67.3,8.3,321,3,7,4,5,5,4,77,109
14,P14,16.7,25.5,48,3,1,1,1,1,1,14,13
15,P15,34.3,79.6,126,4,3,1,2,2,2,32,47
16,P16,1.8,14.6,172,1,4,2,2,2,4,42,14
17,P17,69.5,45.1,408,5,7,4,5,6,9,89,215
18,P18,96.8,87.6,308,4,5,3,4,4,3,58,113
19,P19,56.1,85.1,196,1,3,3,3,2,3,40,17
20,P20,50.9,37.8,342,4,8,4,4,5,7,84,148
