origem,destino,distancia_km,disponivel
0,6,43.9,1
0,7,8.2,1
0,8,19.1,1
0,17,27.8,1
0,20,13.9,1
1,3,57.1,1
1,7,31.1,1
1,11,2.5,1
1,14,28.3,1
2,3,46.3,0
2,4,5.0,1
2,9,53.0,1
2,10,4.2,1
2,12,31.3,1
2,18,4.4,1
3,7,27.5,0
3,8,21.2,1
3,12,31.5,1
3,15,20.0,1
3,19,12.7,1
4,6,60.1,0
4,9,53.0,1
4,18,9.2,0
5,6,11.0,1
5,13,48.8,1
6,12,21.2,1
6,17,19.9,1
6,18,51.4,1
6,20,47.1,0
7,11,27.5,1
7,12,47.6,1
7,17,28.6,1
7,19,37.6,1
8,9,42.9,1
8,11,57.2,1
8,15,42.7,1
8,17,20.1,1
9,15,31.7,0
9,19,12.8,1
10,18,7.5,1
10,19,44.8,1
12,18,33.1,1
12,20,51.5,1
13,20,37.7,1
14,16,24.9,1
15,19,29.9,1
