timestamp,regiao,unidade,consumo_mwh,capacidade_mwh,prioridade,custo_rs_mwh
2026-01-01 00:00,Centro-Oeste,CE-01,75.13,90.73,2,277.72
2026-01-01 00:00,Centro-Oeste,CE-02,88.64,119.55,2,224.13
2026-01-01 00:00,Nordeste,NO-01,78.44,107.04,1,214.92
2026-01-01 00:00,Nordeste,NO-02,78.6,109.02,3,199.05
2026-01-01 00:00,Norte,NO-01,89.4,118.62,5,208.53
2026-01-01 00:00,Norte,NO-02,60.48,88.36,1,189.77
2026-01-01 00:00,Sudeste,SU-01,75.97,88.06,5,284.61
2026-01-01 00:00,Sudeste,SU-02,85.77,100.5,2,275.84
2026-01-01 00:00,Sul,SU-01,94.39,116.75,2,254.0
2026-01-01 00:00,Sul,SU-02,75.21,91.57,3,268.21
2026-01-01 01:00,Centro-Oeste,CE-01,70.05,88.73,2,259.99
2026-01-01 01:00,Centro-Oeste,CE-02,81.58,124.53,2,173.18
2026-01-01 01:00,Nordeste,NO-01,79.63,104.94,1,245.69
2026-01-01 01:00,Nordeste,NO-02,74.88,102.94,3,205.47
2026-01-01 01:00,Norte,NO-01,83.19,117.48,5,207.87
2026-01-01 01:00,Norte,NO-02,59.86,89.23,1,171.87
2026-01-01 01:00,Sudeste,SU-01,70.43,89.4,5,251.65
2026-01-01 01:00,Sudeste,SU-02,83.4,100.41,2,270.74
2026-01-01 01:00,Sul,SU-01,95.02,117.66,2,248.04
2026-01-01 01:00,Sul,SU-02,78.06,91.89,3,278.0
2026-01-01 02:00,Centro-Oeste,CE-01,65.92,87.28,2,220.18
2026-01-01 02:00,Centro-Oeste,CE-02,78.48,119.45,2,180.01
2026-01-01 02:00,Nordeste,NO-01,73.77,105.51,1,196.97
2026-01-01 02:00,Nordeste,NO-02,75.31,106.49,3,201.32
2026-01-01 02:00,Norte,NO-01,80.43,119.81,5,187.16
2026-01-01 02:00,Norte,NO-02,59.25,88.51,1,186.54
2026-01-01 02:00,Sudeste,SU-01,66.15,87.69,5,225.93
2026-01-01 02:00,Sudeste,SU-02,79.73,104.85,2,227.96
2026-01-01 02:00,Sul,SU-01,93.21,119.09,2,247.41
2026-01-01 02:00,Sul,SU-02,74.73,92.0,3,253.18
2026-01-01 03:00,Centro-Oeste,CE-01,58.9,91.43,2,182.49
2026-01-01 03:00,Centro-Oeste,CE-02,73.65,124.0,2,140.44
2026-01-01 03:00,Nordeste,NO-01,74.65,108.22,1,202.85
2026-01-01 03:00,Nordeste,NO-02,66.8,106.43,3,174.88
2026-01-01 03:00,Norte,NO-01,80.16,118.89,5,187.26
2026-01-01 03:00,Norte,NO-02,53.45,91.14,1,140.49
2026-01-01 03:00,Sudeste,SU-01,63.57,90.16,5,198.26
2026-01-01 03:00,Sudeste,SU-02,74.15,102.93,2,202.89
2026-01-01 03:00,Sul,SU-01,86.76,117.75,2,197.18
2026-01-01 03:00,Sul,SU-02,69.39,93.49,3,230.28
2026-01-01 04:00,Centro-Oeste,CE-01,54.93,91.28,2,143.28
2026-01-01 04:00,Centro-Oeste,CE-02,68.71,119.61,2,156.25
2026-01-01 04:00,Nordeste,NO-01,71.13,108.71,1,180.75
